,api_element,cq,suggest_sen,kwd
1459,Enum.equals(Object o),what's the return of Enum.equals(Object o)?,the return of Enum.equals(Object o) should be true if the specified object is equal to this map.,"['return', 'Enum.equals(Object o)']"
1460,Enum.equals(Object o),what's the parameter of Enum.equals(Object o)?,the parameter of Enum.equals(Object o) should be  the object to be compared for equality with this map.,"['parameter', 'Enum.equals(Object o)']"
1461,Enum.hashCode(),what's the return of Enum.hashCode()?,the return of Enum.hashCode() should be the hash code value for this map. The hash code of a map is defined to be the sum of the hash codes of each entry in the map..,"['return', 'Enum.hashCode()']"
1462,Object.clone(),what's the return of Object.clone()?,the return of Object.clone() should be a shallow copy of this AbstractMap instance: the keys and values themselves are not cloned..,"['return', 'Object.clone()']"
1463,EventListenerProxy<T.getListener(),what's the return of EventListenerProxy<T.getListener()?,the return of EventListenerProxy<T.getListener() should be the listener associated with the proxy..,"['return', 'EventListenerProxy<T.getListener()']"
1464,Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
1465,Formatter.BigDecimalLayoutForm.values(),what's the return of Formatter.BigDecimalLayoutForm.values()?,"the return of Formatter.BigDecimalLayoutForm.values() should be an array containing the constants of this enum type, in the order they are declared. This method may be used to iterate over the constants as follows: for (Formatter.BigDecimalLayoutForm c : Formatter.BigDecimalLayoutForm.values()) System.out.println(c);.","['return', 'Formatter.BigDecimalLayoutForm.values()']"
1466,Formatter.BigDecimalLayoutForm.valueOf(String name),what's the return of Formatter.BigDecimalLayoutForm.valueOf(String name)?,the return of Formatter.BigDecimalLayoutForm.valueOf(String name) should be the enum constant of this type with the specified name. The string must match exactly an identifier used to declare an enum constant in this type. (Extraneous whitespace characters are not permitted.).,"['return', 'Formatter.BigDecimalLayoutForm.valueOf(String name)']"
1467,Formatter.BigDecimalLayoutForm.valueOf(String name),what's the parameter of Formatter.BigDecimalLayoutForm.valueOf(String name)?,the parameter of Formatter.BigDecimalLayoutForm.valueOf(String name) should be  the name of the enum constant to be returned..,"['parameter', 'Formatter.BigDecimalLayoutForm.valueOf(String name)']"
1468,Formatter.locale(),what's the return of Formatter.locale()?,the return of Formatter.locale() should be the locale set by the construction of this formatter..,"['return', 'Formatter.locale()']"
1469,Formatter.out(),what's the return of Formatter.out()?,the return of Formatter.out() should be the destination for the output..,"['return', 'Formatter.out()']"
1470,Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
1471,Formatter.ioException(),what's the return of Formatter.ioException()?,the return of Formatter.ioException() should be the IOException last thrown by this formatter's Appendable..,"['return', 'Formatter.ioException()']"
1472,"Formatter.format(String format, Object... args)","what's the return of Formatter.format(String format, Object... args)?","the return of Formatter.format(String format, Object... args) should be args - Arguments referenced by the format specifiers in the format
         string.  If there are more arguments than format specifiers, the
         extra arguments are ignored.  The maximum number of arguments is
         limited by the maximum dimension of a Java array as defined by
         The Java™ Virtual Machine Specification..","['return', 'Formatter.format(String format, Object... args)']"
1473,"Formatter.format(String format, Object... args)","what's the parameter of Formatter.format(String format, Object... args)?","the parameter of Formatter.format(String format, Object... args) should be  A format string as described in Format string
         syntax..","['parameter', 'Formatter.format(String format, Object... args)']"
1474,"Formatter.format(Locale l, String format, Object... args)","what's the return of Formatter.format(Locale l, String format, Object... args)?","the return of Formatter.format(Locale l, String format, Object... args) should be format - A format string as described in Format string
         syntax.","['return', 'Formatter.format(Locale l, String format, Object... args)']"
1475,"Formatter.format(Locale l, String format, Object... args)","what's the parameter of Formatter.format(Locale l, String format, Object... args)?","the parameter of Formatter.format(Locale l, String format, Object... args) should be  The locale to apply during
         formatting.  If l is null then no localization
         is applied.  This does not change this object's locale that was
         set during construction..","['parameter', 'Formatter.format(Locale l, String format, Object... args)']"
1476,"Formatter.format(Locale l, String format, Object... args)","what's the parameter of Formatter.format(Locale l, String format, Object... args)?","the parameter of Formatter.format(Locale l, String format, Object... args) should be  The locale to apply during
         formatting.  If l is null then no localization
         is applied.  This does not change this object's locale that was
         set during construction..","['parameter', 'Formatter.format(Locale l, String format, Object... args)']"
1477,Map.entrySet(),what's the return of Map.entrySet()?,the return of Map.entrySet() should be a set view of the mappings contained in this map.,"['return', 'Map.entrySet()']"
1478,"Map.getOrDefault(Object key, V defaultValue)","what's the return of Map.getOrDefault(Object key, V defaultValue)?","the return of Map.getOrDefault(Object key, V defaultValue) should be the value to which the specified key is mapped, or defaultValue if this map contains no mapping for the key..","['return', 'Map.getOrDefault(Object key, V defaultValue)']"
1479,"Map.getOrDefault(Object key, V defaultValue)","what's the parameter of Map.getOrDefault(Object key, V defaultValue)?","the parameter of Map.getOrDefault(Object key, V defaultValue) should be  the key whose associated value is to be returned.","['parameter', 'Map.getOrDefault(Object key, V defaultValue)']"
1480,"Map.getOrDefault(Object key, V defaultValue)","what's the parameter of Map.getOrDefault(Object key, V defaultValue)?","the parameter of Map.getOrDefault(Object key, V defaultValue) should be  the key whose associated value is to be returned.","['parameter', 'Map.getOrDefault(Object key, V defaultValue)']"
1481,"Map.putIfAbsent(K key, V value)","what's the return of Map.putIfAbsent(K key, V value)?","the return of Map.putIfAbsent(K key, V value) should be value - value to be associated with the specified key.","['return', 'Map.putIfAbsent(K key, V value)']"
1482,"Map.putIfAbsent(K key, V value)","what's the parameter of Map.putIfAbsent(K key, V value)?","the parameter of Map.putIfAbsent(K key, V value) should be  key with which the specified value is to be associated.","['parameter', 'Map.putIfAbsent(K key, V value)']"
1483,"Map.remove(Object key, Object value)","what's the return of Map.remove(Object key, Object value)?","the return of Map.remove(Object key, Object value) should be value - value expected to be associated with the specified key.","['return', 'Map.remove(Object key, Object value)']"
1484,"Map.remove(Object key, Object value)","what's the parameter of Map.remove(Object key, Object value)?","the parameter of Map.remove(Object key, Object value) should be  key with which the specified value is associated.","['parameter', 'Map.remove(Object key, Object value)']"
1485,"Map.replace(K key, V oldValue, V newValue)","what's the return of Map.replace(K key, V oldValue, V newValue)?","the return of Map.replace(K key, V oldValue, V newValue) should be oldValue - value expected to be associated with the specified key.","['return', 'Map.replace(K key, V oldValue, V newValue)']"
1486,"Map.replace(K key, V oldValue, V newValue)","what's the parameter of Map.replace(K key, V oldValue, V newValue)?","the parameter of Map.replace(K key, V oldValue, V newValue) should be  key with which the specified value is associated.","['parameter', 'Map.replace(K key, V oldValue, V newValue)']"
1487,"Map.replace(K key, V value)","what's the return of Map.replace(K key, V value)?","the return of Map.replace(K key, V value) should be value - value to be associated with the specified key.","['return', 'Map.replace(K key, V value)']"
1488,"Map.replace(K key, V value)","what's the parameter of Map.replace(K key, V value)?","the parameter of Map.replace(K key, V value) should be  key with which the specified value is associated.","['parameter', 'Map.replace(K key, V value)']"
1489,"Map.computeIfAbsent(K key, Function<? super K,? extends V> mappingFunction)","what's the return of Map.computeIfAbsent(K key, Function<? super K,? extends V> mappingFunction)?","the return of Map.computeIfAbsent(K key, Function<? super K,? extends V> mappingFunction) should be mappingFunction - the function to compute a value.","['return', 'Map.computeIfAbsent(K key, Function<? super K,? extends V> mappingFunction)']"
1490,"Map.computeIfAbsent(K key, Function<? super K,? extends V> mappingFunction)","what's the parameter of Map.computeIfAbsent(K key, Function<? super K,? extends V> mappingFunction)?","the parameter of Map.computeIfAbsent(K key, Function<? super K,? extends V> mappingFunction) should be  key with which the specified value is to be associated.","['parameter', 'Map.computeIfAbsent(K key, Function<? super K,? extends V> mappingFunction)']"
1491,"Map.computeIfPresent(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)","what's the return of Map.computeIfPresent(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)?","the return of Map.computeIfPresent(K key, BiFunction<? super K,? super V,? extends V> remappingFunction) should be remappingFunction - the function to compute a value.","['return', 'Map.computeIfPresent(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)']"
1492,"Map.computeIfPresent(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)","what's the parameter of Map.computeIfPresent(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)?","the parameter of Map.computeIfPresent(K key, BiFunction<? super K,? super V,? extends V> remappingFunction) should be  key with which the specified value is to be associated.","['parameter', 'Map.computeIfPresent(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)']"
1493,"Map.compute(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)","what's the return of Map.compute(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)?","the return of Map.compute(K key, BiFunction<? super K,? super V,? extends V> remappingFunction) should be remappingFunction - the function to compute a value.","['return', 'Map.compute(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)']"
1494,"Map.compute(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)","what's the parameter of Map.compute(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)?","the parameter of Map.compute(K key, BiFunction<? super K,? super V,? extends V> remappingFunction) should be  key with which the specified value is to be associated.","['parameter', 'Map.compute(K key, BiFunction<? super K,? super V,? extends V> remappingFunction)']"
1495,"Map.merge(K key, V value, BiFunction<? super V,? super V,? extends V> remappingFunction)","what's the return of Map.merge(K key, V value, BiFunction<? super V,? super V,? extends V> remappingFunction)?","the return of Map.merge(K key, V value, BiFunction<? super V,? super V,? extends V> remappingFunction) should be value - the non-null value to be merged with the existing value
        associated with the key or, if no existing value or a null value
        is associated with the key, to be associated with the key.","['return', 'Map.merge(K key, V value, BiFunction<? super V,? super V,? extends V> remappingFunction)']"
1496,"Map.merge(K key, V value, BiFunction<? super V,? super V,? extends V> remappingFunction)","what's the parameter of Map.merge(K key, V value, BiFunction<? super V,? super V,? extends V> remappingFunction)?","the parameter of Map.merge(K key, V value, BiFunction<? super V,? super V,? extends V> remappingFunction) should be  key with which the resulting value is to be associated.","['parameter', 'Map.merge(K key, V value, BiFunction<? super V,? super V,? extends V> remappingFunction)']"
1497,"Map.forEach(BiConsumer<? super K,? super V> action)","what's the parameter of Map.forEach(BiConsumer<? super K,? super V> action)?","the parameter of Map.forEach(BiConsumer<? super K,? super V> action) should be  The action to be performed for each entry.","['parameter', 'Map.forEach(BiConsumer<? super K,? super V> action)']"
1498,"Map.replaceAll(BiFunction<? super K,? super V,? extends V> function)","what's the parameter of Map.replaceAll(BiFunction<? super K,? super V,? extends V> function)?","the parameter of Map.replaceAll(BiFunction<? super K,? super V,? extends V> function) should be  the function to apply to each entry.","['parameter', 'Map.replaceAll(BiFunction<? super K,? super V,? extends V> function)']"
1499,Iterable.iterator(),what's the return of Iterable.iterator()?,the return of Iterable.iterator() should be an iterator over the elements in this list in proper sequence..,"['return', 'Iterable.iterator()']"
1500,Collection.size(),what's the return of Collection.size()?,the return of Collection.size() should be the number of elements in this deque..,"['return', 'Collection.size()']"
1501,Object.clone(),what's the return of Object.clone()?,the return of Object.clone() should be a shallow copy of this AbstractMap instance: the keys and values themselves are not cloned..,"['return', 'Object.clone()']"
1502,Iterable.spliterator(),what's the return of Iterable.spliterator()?,the return of Iterable.spliterator() should be a Spliterator over the elements in this list.,"['return', 'Iterable.spliterator()']"
1503,Map.size(),what's the return of Map.size()?,"the return of Map.size() should be the number of key-value mappings in this map. If the map contains more than Integer.MAX_VALUE elements, returns Integer.MAX_VALUE..","['return', 'Map.size()']"
1504,Map.isEmpty(),what's the return of Map.isEmpty()?,the return of Map.isEmpty() should be true if this map contains no key-value mappings..,"['return', 'Map.isEmpty()']"
1505,Dictionary.keys(),what's the return of Dictionary.keys()?,the return of Dictionary.keys() should be an enumeration of the keys in this dictionary. The general contract for the keys method is that an Enumeration object is returned that will generate all the keys for which this dictionary contains entries..,"['return', 'Dictionary.keys()']"
1506,Dictionary.elements(),what's the return of Dictionary.elements()?,the return of Dictionary.elements() should be an enumeration of the values in this dictionary. The general contract for the elements method is that an Enumeration is returned that will generate all the elements contained in entries in this dictionary..,"['return', 'Dictionary.elements()']"
1507,Hashtable.contains(Object value),what's the return of Hashtable.contains(Object value)?,"the return of Hashtable.contains(Object value) should be true if and only if some key maps to the
             value argument in this hashtable as
             determined by the equals method;
             false otherwise..","['return', 'Hashtable.contains(Object value)']"
1508,Hashtable.contains(Object value),what's the parameter of Hashtable.contains(Object value)?,the parameter of Hashtable.contains(Object value) should be  a value to search for.,"['parameter', 'Hashtable.contains(Object value)']"
1509,Map.containsValue(Object value),what's the return of Map.containsValue(Object value)?,"the return of Map.containsValue(Object value) should be true if this map maps one or more keys to the specified value. More formally, returns true if and only if this map contains at least one mapping to a value v such that (value==null ? v==null : value.equals(v)). This operation will probably require time linear in the map size for most implementations of the Map interface..","['return', 'Map.containsValue(Object value)']"
1510,Map.containsValue(Object value),what's the parameter of Map.containsValue(Object value)?,the parameter of Map.containsValue(Object value) should be  value whose presence in this map is to be tested.,"['parameter', 'Map.containsValue(Object value)']"
1511,Map.containsKey(Object key),what's the return of Map.containsKey(Object key)?,"the return of Map.containsKey(Object key) should be true if this map contains a mapping for the specified key. More formally, returns true if and only if this map contains a mapping for a key k such that (key==null ? k==null : key.equals(k)). (There can be at most one such mapping.).","['return', 'Map.containsKey(Object key)']"
1512,Map.containsKey(Object key),what's the parameter of Map.containsKey(Object key)?,the parameter of Map.containsKey(Object key) should be  key whose presence in this map is to be tested.,"['parameter', 'Map.containsKey(Object key)']"
1513,Map.get(Object key),what's the return of Map.get(Object key)?,"the return of Map.get(Object key) should be the value to which the specified key is mapped, or null if this map contains no mapping for the key..","['return', 'Map.get(Object key)']"
1514,Map.get(Object key),what's the parameter of Map.get(Object key)?,the parameter of Map.get(Object key) should be  the key whose associated value is to be returned.,"['parameter', 'Map.get(Object key)']"
1515,Map.entrySet(),what's the return of Map.entrySet()?,the return of Map.entrySet() should be a set view of the mappings contained in this map.,"['return', 'Map.entrySet()']"
1516,"Map.forEach(BiConsumer<? super K,? super V> action)","what's the parameter of Map.forEach(BiConsumer<? super K,? super V> action)?","the parameter of Map.forEach(BiConsumer<? super K,? super V> action) should be  The action to be performed for each entry.","['parameter', 'Map.forEach(BiConsumer<? super K,? super V> action)']"
1517,"Map.replaceAll(BiFunction<? super K,? super V,? extends V> function)","what's the parameter of Map.replaceAll(BiFunction<? super K,? super V,? extends V> function)?","the parameter of Map.replaceAll(BiFunction<? super K,? super V,? extends V> function) should be  the function to apply to each entry.","['parameter', 'Map.replaceAll(BiFunction<? super K,? super V,? extends V> function)']"
1518,IllegalFormatFlagsException.getFlags(),what's the return of IllegalFormatFlagsException.getFlags()?,the return of IllegalFormatFlagsException.getFlags() should be the set of flags which contains an illegal combination..,"['return', 'IllegalFormatFlagsException.getFlags()']"
1519,IllegalFormatPrecisionException.getPrecision(),what's the return of IllegalFormatPrecisionException.getPrecision()?,the return of IllegalFormatPrecisionException.getPrecision() should be the precision.,"['return', 'IllegalFormatPrecisionException.getPrecision()']"
1520,IllformedLocaleException.getErrorIndex(),what's the return of IllformedLocaleException.getErrorIndex()?,the return of IllformedLocaleException.getErrorIndex() should be the index where the error was found. A negative value indicates either the error index is not applicable or unknown..,"['return', 'IllformedLocaleException.getErrorIndex()']"
1521,IntSummaryStatistics.combine(IntSummaryStatistics other),what's the parameter of IntSummaryStatistics.combine(IntSummaryStatistics other)?,the parameter of IntSummaryStatistics.combine(IntSummaryStatistics other) should be  another IntSummaryStatistics.,"['parameter', 'IntSummaryStatistics.combine(IntSummaryStatistics other)']"
1522,IntSummaryStatistics.getCount(),what's the return of IntSummaryStatistics.getCount()?,the return of IntSummaryStatistics.getCount() should be the count of values recorded..,"['return', 'IntSummaryStatistics.getCount()']"
1523,IntSummaryStatistics.getSum(),what's the return of IntSummaryStatistics.getSum()?,"the return of IntSummaryStatistics.getSum() should be the sum of values recorded, or zero if no values have been recorded..","['return', 'IntSummaryStatistics.getSum()']"
1524,IntSummaryStatistics.getMin(),what's the return of IntSummaryStatistics.getMin()?,"the return of IntSummaryStatistics.getMin() should be the minimum value recorded, or Integer.MAX_VALUE if no values have been recorded..","['return', 'IntSummaryStatistics.getMin()']"
1525,IntSummaryStatistics.getMax(),what's the return of IntSummaryStatistics.getMax()?,"the return of IntSummaryStatistics.getMax() should be the maximum value recorded, or Integer.MIN_VALUE if no values have been recorded..","['return', 'IntSummaryStatistics.getMax()']"
1526,IntSummaryStatistics.getAverage(),what's the return of IntSummaryStatistics.getAverage()?,"the return of IntSummaryStatistics.getAverage() should be the arithmetic mean of values recorded, or zero if no values have been recorded..","['return', 'IntSummaryStatistics.getAverage()']"
1527,Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
1528,Iterator.hasNext(),what's the return of Iterator.hasNext()?,"the return of Iterator.hasNext() should be true if the iteration has more elements. (In other words, returns true if next() would return an element rather than throwing an exception.).","['return', 'Iterator.hasNext()']"
1529,Iterator.next(),what's the return of Iterator.next()?,the return of Iterator.next() should be the next element in the iteration..,"['return', 'Iterator.next()']"
1530,"LinkedHashMap.removeEldestEntry(Map.Entry<K,V> eldest)","what's the return of LinkedHashMap.removeEldestEntry(Map.Entry<K,V> eldest)?","the return of LinkedHashMap.removeEldestEntry(Map.Entry<K,V> eldest) should be true if this map should remove its eldest entry. This method is invoked by put and putAll after inserting a new entry into the map. It provides the implementor with the opportunity to remove the eldest entry each time a new one is added. This is useful if the map represents a cache: it allows the map to reduce memory consumption by deleting stale entries. private static final int MAX_ENTRIES = 100; protected boolean removeEldestEntry(Map.Entry eldest) { return size() > MAX_ENTRIES; }.","['return', 'LinkedHashMap.removeEldestEntry(Map.Entry<K,V> eldest)']"
1531,Deque.getFirst(),what's the return of Deque.getFirst()?,the return of Deque.getFirst() should be the head of this deque.,"['return', 'Deque.getFirst()']"
1532,Deque.getLast(),what's the return of Deque.getLast()?,the return of Deque.getLast() should be the tail of this deque.,"['return', 'Deque.getLast()']"
1533,Deque.removeFirst(),what's the return of Deque.removeFirst()?,the return of Deque.removeFirst() should be the head of this deque.,"['return', 'Deque.removeFirst()']"
1534,Deque.removeLast(),what's the return of Deque.removeLast()?,the return of Deque.removeLast() should be the tail of this deque.,"['return', 'Deque.removeLast()']"
1535,Deque.addFirst(E e),what's the parameter of Deque.addFirst(E e)?,the parameter of Deque.addFirst(E e) should be  the element to add.,"['parameter', 'Deque.addFirst(E e)']"
1536,Deque.addLast(E e),what's the parameter of Deque.addLast(E e)?,the parameter of Deque.addLast(E e) should be  the element to add.,"['parameter', 'Deque.addLast(E e)']"
1537,Collection.size(),what's the return of Collection.size()?,the return of Collection.size() should be the number of elements in this deque..,"['return', 'Collection.size()']"
1538,Deque.peek(),what's the return of Deque.peek()?,"the return of Deque.peek() should be the head of the queue represented by this deque, or
         null if this deque is empty.","['return', 'Deque.peek()']"
1539,Deque.element(),what's the return of Deque.element()?,the return of Deque.element() should be the head of the queue represented by this deque.,"['return', 'Deque.element()']"
1540,Deque.poll(),what's the return of Deque.poll()?,"the return of Deque.poll() should be the head of the queue represented by this deque, or
         null if this deque is empty.","['return', 'Deque.poll()']"
1541,Deque.remove(),what's the return of Deque.remove()?,the return of Deque.remove() should be the head of the queue represented by this deque.,"['return', 'Deque.remove()']"
1542,Deque.offer(E e),what's the return of Deque.offer(E e)?,the return of Deque.offer(E e) should be true (as specified by Queue.offer(E)).,"['return', 'Deque.offer(E e)']"
1543,Deque.offer(E e),what's the parameter of Deque.offer(E e)?,the parameter of Deque.offer(E e) should be  the element to add.,"['parameter', 'Deque.offer(E e)']"
1544,Deque.offerFirst(E e),what's the return of Deque.offerFirst(E e)?,"the return of Deque.offerFirst(E e) should be true if the element was added to this deque, else
         false.","['return', 'Deque.offerFirst(E e)']"
1545,Deque.offerFirst(E e),what's the parameter of Deque.offerFirst(E e)?,the parameter of Deque.offerFirst(E e) should be  the element to add.,"['parameter', 'Deque.offerFirst(E e)']"
1546,Deque.offerLast(E e),what's the return of Deque.offerLast(E e)?,"the return of Deque.offerLast(E e) should be true if the element was added to this deque, else
         false.","['return', 'Deque.offerLast(E e)']"
1547,Deque.offerLast(E e),what's the parameter of Deque.offerLast(E e)?,the parameter of Deque.offerLast(E e) should be  the element to add.,"['parameter', 'Deque.offerLast(E e)']"
1548,Deque.peekFirst(),what's the return of Deque.peekFirst()?,"the return of Deque.peekFirst() should be the head of this deque, or null if this deque is empty.","['return', 'Deque.peekFirst()']"
1549,Deque.peekLast(),what's the return of Deque.peekLast()?,"the return of Deque.peekLast() should be the tail of this deque, or null if this deque is empty.","['return', 'Deque.peekLast()']"
1550,Deque.pollFirst(),what's the return of Deque.pollFirst()?,"the return of Deque.pollFirst() should be the head of this deque, or null if this deque is empty.","['return', 'Deque.pollFirst()']"
1551,Deque.pollLast(),what's the return of Deque.pollLast()?,"the return of Deque.pollLast() should be the tail of this deque, or null if this deque is empty.","['return', 'Deque.pollLast()']"
1552,Deque.push(E e),what's the parameter of Deque.push(E e)?,the parameter of Deque.push(E e) should be  the element to push.,"['parameter', 'Deque.push(E e)']"
1553,Deque.pop(),what's the return of Deque.pop()?,"the return of Deque.pop() should be the element at the front of this deque (which is the top
         of the stack represented by this deque).","['return', 'Deque.pop()']"
1554,Deque.removeFirstOccurrence(Object o),what's the return of Deque.removeFirstOccurrence(Object o)?,the return of Deque.removeFirstOccurrence(Object o) should be true if an element was removed as a result of this call.,"['return', 'Deque.removeFirstOccurrence(Object o)']"
1555,Deque.removeFirstOccurrence(Object o),what's the parameter of Deque.removeFirstOccurrence(Object o)?,"the parameter of Deque.removeFirstOccurrence(Object o) should be  element to be removed from this deque, if present.","['parameter', 'Deque.removeFirstOccurrence(Object o)']"
1556,Deque.removeLastOccurrence(Object o),what's the return of Deque.removeLastOccurrence(Object o)?,the return of Deque.removeLastOccurrence(Object o) should be true if an element was removed as a result of this call.,"['return', 'Deque.removeLastOccurrence(Object o)']"
1557,Deque.removeLastOccurrence(Object o),what's the parameter of Deque.removeLastOccurrence(Object o)?,"the parameter of Deque.removeLastOccurrence(Object o) should be  element to be removed from this deque, if present.","['parameter', 'Deque.removeLastOccurrence(Object o)']"
1558,List.listIterator(int index),what's the return of List.listIterator(int index)?,"the return of List.listIterator(int index) should be a list iterator over the elements in this list (in proper sequence), starting at the specified position in the list. The specified index indicates the first element that would be returned by an initial call to next. An initial call to previous would return the element with the specified index minus one..","['return', 'List.listIterator(int index)']"
1559,Deque.descendingIterator(),what's the return of Deque.descendingIterator()?,the return of Deque.descendingIterator() should be an iterator over the elements in this deque in reverse sequential order. The elements will be returned in order from last (tail) to first (head)..,"['return', 'Deque.descendingIterator()']"
1560,Object.clone(),what's the return of Object.clone()?,the return of Object.clone() should be a shallow copy of this AbstractMap instance: the keys and values themselves are not cloned..,"['return', 'Object.clone()']"
1561,Iterable.spliterator(),what's the return of Iterable.spliterator()?,the return of Iterable.spliterator() should be a Spliterator over the elements in this list.,"['return', 'Iterable.spliterator()']"
1562,Collection.size(),what's the return of Collection.size()?,the return of Collection.size() should be the number of elements in this deque..,"['return', 'Collection.size()']"
1563,Collection.isEmpty(),what's the return of Collection.isEmpty()?,the return of Collection.isEmpty() should be true if this set contains no elements..,"['return', 'Collection.isEmpty()']"
1564,Collection.contains(Object o),what's the return of Collection.contains(Object o)?,"the return of Collection.contains(Object o) should be true if this deque contains the specified element. More formally, returns true if and only if this deque contains at least one element e such that (o==null ? e==null : o.equals(e))..","['return', 'Collection.contains(Object o)']"
1565,Collection.contains(Object o),what's the parameter of Collection.contains(Object o)?,the parameter of Collection.contains(Object o) should be  element whose presence in this deque is to be tested.,"['parameter', 'Collection.contains(Object o)']"
1566,Collection.iterator(),what's the return of Collection.iterator()?,the return of Collection.iterator() should be an iterator over the elements in this deque in proper sequence. The elements will be returned in order from first (head) to last (tail)..,"['return', 'Collection.iterator()']"
1567,Collection.toArray(),what's the return of Collection.toArray()?,"the return of Collection.toArray() should be an array containing all of the elements in this set. If this set makes any guarantees as to what order its elements are returned by its iterator, this method must return the elements in the same order..","['return', 'Collection.toArray()']"
1568,Collection.toArray(T[] a),what's the return of Collection.toArray(T[] a)?,"the return of Collection.toArray(T[] a) should be an array containing all of the elements in this set; the runtime type of the returned array is that of the specified array. If the set fits in the specified array, it is returned therein. Otherwise, a new array is allocated with the runtime type of the specified array and the size of this set. String[] y = x.toArray(new String[0]); Note that toArray(new Object[0]) is identical in function to toArray()..","['return', 'Collection.toArray(T[] a)']"
1569,Collection.add(E e),what's the return of Collection.add(E e)?,the return of Collection.add(E e) should be true (as specified by Collection.add(E)).,"['return', 'Collection.add(E e)']"
1570,Collection.add(E e),what's the parameter of Collection.add(E e)?,the parameter of Collection.add(E e) should be  the element to add.,"['parameter', 'Collection.add(E e)']"
1571,Collection.remove(Object o),what's the return of Collection.remove(Object o)?,the return of Collection.remove(Object o) should be true if an element was removed as a result of this call.,"['return', 'Collection.remove(Object o)']"
1572,Collection.remove(Object o),what's the parameter of Collection.remove(Object o)?,"the parameter of Collection.remove(Object o) should be  element to be removed from this deque, if present.","['parameter', 'Collection.remove(Object o)']"
1573,Collection.containsAll(Collection<?> c),what's the return of Collection.containsAll(Collection<?> c)?,"the return of Collection.containsAll(Collection<?> c) should be true if this set contains all of the elements of the specified collection. If the specified collection is also a set, this method returns true if it is a subset of this set..","['return', 'Collection.containsAll(Collection<?> c)']"
1574,Collection.addAll(Collection<? extends E> c),what's the return of Collection.addAll(Collection<? extends E> c)?,the return of Collection.addAll(Collection<? extends E> c) should be true if this set changed as a result of the call.,"['return', 'Collection.addAll(Collection<? extends E> c)']"
1575,"List.addAll(int index, Collection<? extends E> c)","what's the return of List.addAll(int index, Collection<? extends E> c)?","the return of List.addAll(int index, Collection<? extends E> c) should be c - elements to be inserted into this Vector.","['return', 'List.addAll(int index, Collection<? extends E> c)']"
1576,Collection.removeAll(Collection<?> c),what's the return of Collection.removeAll(Collection<?> c)?,the return of Collection.removeAll(Collection<?> c) should be true if this set changed as a result of the call.,"['return', 'Collection.removeAll(Collection<?> c)']"
1577,Collection.retainAll(Collection<?> c),what's the return of Collection.retainAll(Collection<?> c)?,the return of Collection.retainAll(Collection<?> c) should be true if this set changed as a result of the call.,"['return', 'Collection.retainAll(Collection<?> c)']"
1578,Object.equals(Object o),what's the return of Object.equals(Object o)?,the return of Object.equals(Object o) should be true if the specified object is equal to this map.,"['return', 'Object.equals(Object o)']"
1579,Object.equals(Object o),what's the parameter of Object.equals(Object o)?,the parameter of Object.equals(Object o) should be  object to be compared for equality with this map.,"['parameter', 'Object.equals(Object o)']"
1580,Object.hashCode(),what's the return of Object.hashCode()?,the return of Object.hashCode() should be the hash code computed from the package name..,"['return', 'Object.hashCode()']"
1581,List.get(int index),what's the return of List.get(int index)?,the return of List.get(int index) should be the element at the specified position in this Vector..,"['return', 'List.get(int index)']"
1582,"List.set(int index, E element)","what's the return of List.set(int index, E element)?","the return of List.set(int index, E element) should be element - element to be stored at the specified position.","['return', 'List.set(int index, E element)']"
1583,"List.set(int index, E element)","what's the parameter of List.set(int index, E element)?","the parameter of List.set(int index, E element) should be  index of the element to replace.","['parameter', 'List.set(int index, E element)']"
1584,"List.add(int index, E element)","what's the parameter of List.add(int index, E element)?","the parameter of List.add(int index, E element) should be  index at which the specified element is to be inserted.","['parameter', 'List.add(int index, E element)']"
1585,List.remove(int index),what's the return of List.remove(int index)?,the return of List.remove(int index) should be element that was removed.,"['return', 'List.remove(int index)']"
