api_element,cq,suggest_sen,kwd
"StringBuilder.insert(int offset, String str)","what's the return of StringBuilder.insert(int offset, String str)?","the return of StringBuilder.insert(int offset, String str) should be str - a string..","['return', 'StringBuilder.insert(int offset, String str)']"
"StringBuilder.insert(int offset, String str)","what's the parameter of StringBuilder.insert(int offset, String str)?","the parameter of StringBuilder.insert(int offset, String str) should be  the offset..","['parameter', 'StringBuilder.insert(int offset, String str)']"
"StringBuilder.insert(int offset, char[] str)","what's the return of StringBuilder.insert(int offset, char[] str)?","the return of StringBuilder.insert(int offset, char[] str) should be str - a character array..","['return', 'StringBuilder.insert(int offset, char[] str)']"
"StringBuilder.insert(int dstOffset, CharSequence s)","what's the return of StringBuilder.insert(int dstOffset, CharSequence s)?","the return of StringBuilder.insert(int dstOffset, CharSequence s) should be s - the sequence to be inserted.","['return', 'StringBuilder.insert(int dstOffset, CharSequence s)']"
"StringBuilder.insert(int dstOffset, CharSequence s)","what's the parameter of StringBuilder.insert(int dstOffset, CharSequence s)?","the parameter of StringBuilder.insert(int dstOffset, CharSequence s) should be  the offset..","['parameter', 'StringBuilder.insert(int dstOffset, CharSequence s)']"
"StringBuilder.insert(int dstOffset, CharSequence s, int start, int end)","what's the return of StringBuilder.insert(int dstOffset, CharSequence s, int start, int end)?","the return of StringBuilder.insert(int dstOffset, CharSequence s, int start, int end) should be s - the sequence to be inserted..","['return', 'StringBuilder.insert(int dstOffset, CharSequence s, int start, int end)']"
"StringBuilder.insert(int dstOffset, CharSequence s, int start, int end)","what's the parameter of StringBuilder.insert(int dstOffset, CharSequence s, int start, int end)?","the parameter of StringBuilder.insert(int dstOffset, CharSequence s, int start, int end) should be  the offset in this sequence..","['parameter', 'StringBuilder.insert(int dstOffset, CharSequence s, int start, int end)']"
"StringBuilder.insert(int offset, boolean b)","what's the return of StringBuilder.insert(int offset, boolean b)?","the return of StringBuilder.insert(int offset, boolean b) should be b - a boolean..","['return', 'StringBuilder.insert(int offset, boolean b)']"
"StringBuilder.insert(int offset, char c)","what's the return of StringBuilder.insert(int offset, char c)?","the return of StringBuilder.insert(int offset, char c) should be c - a char..","['return', 'StringBuilder.insert(int offset, char c)']"
"StringBuilder.insert(int offset, int i)","what's the return of StringBuilder.insert(int offset, int i)?","the return of StringBuilder.insert(int offset, int i) should be i - an int..","['return', 'StringBuilder.insert(int offset, int i)']"
"StringBuilder.insert(int offset, long l)","what's the return of StringBuilder.insert(int offset, long l)?","the return of StringBuilder.insert(int offset, long l) should be l - a long..","['return', 'StringBuilder.insert(int offset, long l)']"
"StringBuilder.insert(int offset, float f)","what's the return of StringBuilder.insert(int offset, float f)?","the return of StringBuilder.insert(int offset, float f) should be f - a float..","['return', 'StringBuilder.insert(int offset, float f)']"
"StringBuilder.insert(int offset, double d)","what's the return of StringBuilder.insert(int offset, double d)?","the return of StringBuilder.insert(int offset, double d) should be d - a double..","['return', 'StringBuilder.insert(int offset, double d)']"
StringBuilder.indexOf(String str),what's the return of StringBuilder.indexOf(String str)?,"the return of StringBuilder.indexOf(String str) should be the index within this string of the first occurrence of the specified substring. The integer returned is the smallest value k such that: this.toString().startsWith(str, <i>k</i>) is true..","['return', 'StringBuilder.indexOf(String str)']"
StringBuilder.indexOf(String str),what's the parameter of StringBuilder.indexOf(String str)?,the parameter of StringBuilder.indexOf(String str) should be  any string..,"['parameter', 'StringBuilder.indexOf(String str)']"
"StringBuilder.indexOf(String str, int fromIndex)","what's the return of StringBuilder.indexOf(String str, int fromIndex)?","the return of StringBuilder.indexOf(String str, int fromIndex) should be the index within this string of the first occurrence of the specified substring, starting at the specified index. The integer returned is the smallest value k for which: k >= Math.min(fromIndex, this.length()) && this.toString().startsWith(str, k) If no such value of k exists, then -1 is returned..","['return', 'StringBuilder.indexOf(String str, int fromIndex)']"
"StringBuilder.indexOf(String str, int fromIndex)","what's the parameter of StringBuilder.indexOf(String str, int fromIndex)?","the parameter of StringBuilder.indexOf(String str, int fromIndex) should be  the substring for which to search..","['parameter', 'StringBuilder.indexOf(String str, int fromIndex)']"
StringBuilder.lastIndexOf(String str),what's the return of StringBuilder.lastIndexOf(String str)?,"the return of StringBuilder.lastIndexOf(String str) should be the index within this string of the rightmost occurrence of the specified substring. The rightmost empty string """" is considered to occur at the index value this.length(). The returned index is the largest value k such that this.toString().startsWith(str, k) is true..","['return', 'StringBuilder.lastIndexOf(String str)']"
StringBuilder.lastIndexOf(String str),what's the parameter of StringBuilder.lastIndexOf(String str)?,the parameter of StringBuilder.lastIndexOf(String str) should be  the substring to search for..,"['parameter', 'StringBuilder.lastIndexOf(String str)']"
"StringBuilder.lastIndexOf(String str, int fromIndex)","what's the return of StringBuilder.lastIndexOf(String str, int fromIndex)?","the return of StringBuilder.lastIndexOf(String str, int fromIndex) should be the index within this string of the last occurrence of the specified substring. The integer returned is the largest value k such that: k <= Math.min(fromIndex, this.length()) && this.toString().startsWith(str, k) If no such value of k exists, then -1 is returned..","['return', 'StringBuilder.lastIndexOf(String str, int fromIndex)']"
"StringBuilder.lastIndexOf(String str, int fromIndex)","what's the parameter of StringBuilder.lastIndexOf(String str, int fromIndex)?","the parameter of StringBuilder.lastIndexOf(String str, int fromIndex) should be  the substring to search for..","['parameter', 'StringBuilder.lastIndexOf(String str, int fromIndex)']"
StringBuilder.reverse(),what's the return of StringBuilder.reverse()?,the return of StringBuilder.reverse() should be a reference to this object..,"['return', 'StringBuilder.reverse()']"
CharSequence.toString(),what's the return of CharSequence.toString()?,the return of CharSequence.toString() should be a string representing the data in this sequence. A new String object is allocated and initialized to contain the character sequence currently represented by this object. This String is then returned. Subsequent changes to this sequence do not affect the contents of the String..,"['return', 'CharSequence.toString()']"
CharSequence.length(),what's the return of CharSequence.length()?,the return of CharSequence.length() should be the length of this string. The length is equal to the number of Unicode code units in the string..,"['return', 'CharSequence.length()']"
StringBuilder.capacity(),what's the return of StringBuilder.capacity()?,"the return of StringBuilder.capacity() should be the current capacity. The capacity is the amount of storage available for newly inserted characters, beyond which an allocation will occur..","['return', 'StringBuilder.capacity()']"
System.setIn(InputStream in),what's the parameter of System.setIn(InputStream in)?,the parameter of System.setIn(InputStream in) should be  the new standard input stream..,"['parameter', 'System.setIn(InputStream in)']"
System.setOut(PrintStream out),what's the parameter of System.setOut(PrintStream out)?,the parameter of System.setOut(PrintStream out) should be  the new standard output stream.,"['parameter', 'System.setOut(PrintStream out)']"
System.setErr(PrintStream err),what's the parameter of System.setErr(PrintStream err)?,the parameter of System.setErr(PrintStream err) should be  the new standard error output stream..,"['parameter', 'System.setErr(PrintStream err)']"
System.console(),what's the return of System.console()?,"the return of System.console() should be the unique Console object associated with the current Java virtual machine, if any..","['return', 'System.console()']"
System.inheritedChannel(),what's the return of System.inheritedChannel()?,the return of System.inheritedChannel() should be the channel inherited from the entity that created this Java virtual machine..,"['return', 'System.inheritedChannel()']"
System.setSecurityManager(SecurityManager s),what's the parameter of System.setSecurityManager(SecurityManager s)?,the parameter of System.setSecurityManager(SecurityManager s) should be  the security manager..,"['parameter', 'System.setSecurityManager(SecurityManager s)']"
System.getSecurityManager(),what's the return of System.getSecurityManager()?,"the return of System.getSecurityManager() should be if a security manager has already been established for the
          current application, then that security manager is returned;
          otherwise, null is returned..","['return', 'System.getSecurityManager()']"
System.currentTimeMillis(),what's the return of System.currentTimeMillis()?,"the return of System.currentTimeMillis() should be the current time in milliseconds. Note that while the unit of time of the return value is a millisecond, the granularity of the value depends on the underlying operating system and may be larger. For example, many operating systems measure time in units of tens of milliseconds..","['return', 'System.currentTimeMillis()']"
System.nanoTime(),what's the return of System.nanoTime()?,"the return of System.nanoTime() should be the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds. long startTime = System.nanoTime(); // ... the code being measured ... long estimatedTime = System.nanoTime() - startTime; long t0 = System.nanoTime(); ... long t1 = System.nanoTime(); one should use t1 - t0 < 0, not t1 < t0, because of the possibility of numerical overflow..","['return', 'System.nanoTime()']"
"System.arraycopy(Object src, int srcPos, Object dest, int destPos, int length)","what's the parameter of System.arraycopy(Object src, int srcPos, Object dest, int destPos, int length)?","the parameter of System.arraycopy(Object src, int srcPos, Object dest, int destPos, int length) should be  the source array..","['parameter', 'System.arraycopy(Object src, int srcPos, Object dest, int destPos, int length)']"
System.identityHashCode(Object x),what's the return of System.identityHashCode(Object x)?,"the return of System.identityHashCode(Object x) should be the same hash code for the given object as would be returned by the default method hashCode(), whether or not the given object's class overrides hashCode(). The hash code for the null reference is zero..","['return', 'System.identityHashCode(Object x)']"
System.identityHashCode(Object x),what's the parameter of System.identityHashCode(Object x)?,the parameter of System.identityHashCode(Object x) should be  object for which the hashCode is to be calculated.,"['parameter', 'System.identityHashCode(Object x)']"
System.getProperties(),what's the return of System.getProperties()?,the return of System.getProperties() should be the system properties.,"['return', 'System.getProperties()']"
System.lineSeparator(),what's the return of System.lineSeparator()?,the return of System.lineSeparator() should be the system-dependent line separator string. It always returns the same value - the initial value of the system property line.separator..,"['return', 'System.lineSeparator()']"
System.setProperties(Properties props),what's the parameter of System.setProperties(Properties props)?,the parameter of System.setProperties(Properties props) should be  the new system properties..,"['parameter', 'System.setProperties(Properties props)']"
System.getProperty(String key),what's the return of System.getProperty(String key)?,"the return of System.getProperty(String key) should be the string value of the system property,
             or null if there is no property with that key..","['return', 'System.getProperty(String key)']"
System.getProperty(String key),what's the parameter of System.getProperty(String key)?,the parameter of System.getProperty(String key) should be  the name of the system property..,"['parameter', 'System.getProperty(String key)']"
"System.getProperty(String key, String def)","what's the return of System.getProperty(String key, String def)?","the return of System.getProperty(String key, String def) should be def - a default value..","['return', 'System.getProperty(String key, String def)']"
"System.getProperty(String key, String def)","what's the parameter of System.getProperty(String key, String def)?","the parameter of System.getProperty(String key, String def) should be  the name of the system property..","['parameter', 'System.getProperty(String key, String def)']"
"System.setProperty(String key, String value)","what's the return of System.setProperty(String key, String value)?","the return of System.setProperty(String key, String value) should be value - the value of the system property..","['return', 'System.setProperty(String key, String value)']"
"System.setProperty(String key, String value)","what's the parameter of System.setProperty(String key, String value)?","the parameter of System.setProperty(String key, String value) should be  the name of the system property..","['parameter', 'System.setProperty(String key, String value)']"
System.clearProperty(String key),what's the return of System.clearProperty(String key)?,"the return of System.clearProperty(String key) should be the previous string value of the system property,
             or null if there was no property with that key..","['return', 'System.clearProperty(String key)']"
System.clearProperty(String key),what's the parameter of System.clearProperty(String key)?,the parameter of System.clearProperty(String key) should be  the name of the system property to be removed..,"['parameter', 'System.clearProperty(String key)']"
System.getenv(String name),what's the return of System.getenv(String name)?,"the return of System.getenv(String name) should be the string value of the variable, or null
         if the variable is not defined in the system environment.","['return', 'System.getenv(String name)']"
System.getenv(String name),what's the parameter of System.getenv(String name)?,the parameter of System.getenv(String name) should be  the name of the environment variable.,"['parameter', 'System.getenv(String name)']"
System.getenv(),what's the return of System.getenv()?,the return of System.getenv() should be an unmodifiable string map view of the current system environment. The environment is a system-dependent mapping from names to values which is passed from parent to child processes..,"['return', 'System.getenv()']"
System.load(String filename),what's the parameter of System.load(String filename)?,the parameter of System.load(String filename) should be  the file to load..,"['parameter', 'System.load(String filename)']"
System.loadLibrary(String libname),what's the parameter of System.loadLibrary(String libname)?,the parameter of System.loadLibrary(String libname) should be  the name of the library..,"['parameter', 'System.loadLibrary(String libname)']"
System.mapLibraryName(String libname),what's the return of System.mapLibraryName(String libname)?,the return of System.mapLibraryName(String libname) should be a platform-dependent native library name..,"['return', 'System.mapLibraryName(String libname)']"
System.mapLibraryName(String libname),what's the parameter of System.mapLibraryName(String libname)?,the parameter of System.mapLibraryName(String libname) should be  the name of the library..,"['parameter', 'System.mapLibraryName(String libname)']"
Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
ThreadLocal.initialValue(),what's the return of ThreadLocal.initialValue()?,"the return of ThreadLocal.initialValue() should be the current thread's ""initial value"" for this thread-local variable. This method will be invoked the first time a thread accesses the variable with the get() method, unless the thread previously invoked the set(T) method, in which case the initialValue method will not be invoked for the thread. Normally, this method is invoked at most once per thread, but it may be invoked again in case of subsequent invocations of remove() followed by get()..","['return', 'ThreadLocal.initialValue()']"
ThreadLocal.withInitial(Supplier<? extends S> supplier),what's the return of ThreadLocal.withInitial(Supplier<? extends S> supplier)?,the return of ThreadLocal.withInitial(Supplier<? extends S> supplier) should be a new thread local variable.,"['return', 'ThreadLocal.withInitial(Supplier<? extends S> supplier)']"
ThreadLocal.get(),what's the return of ThreadLocal.get()?,"the return of ThreadLocal.get() should be the value in the current thread's copy of this thread-local variable. If the variable has no value for the current thread, it is first initialized to the value returned by an invocation of the initialValue() method..","['return', 'ThreadLocal.get()']"
ThreadLocal.set(T value),what's the parameter of ThreadLocal.set(T value)?,"the parameter of ThreadLocal.set(T value) should be  the value to be stored in the current thread's copy of
        this thread.","['parameter', 'ThreadLocal.set(T value)']"
Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
Iterable.iterator(),what's the return of Iterable.iterator()?,the return of Iterable.iterator() should be an iterator over the elements in this list in proper sequence..,"['return', 'Iterable.iterator()']"
Collection.size(),what's the return of Collection.size()?,the return of Collection.size() should be the number of elements in this deque..,"['return', 'Collection.size()']"
Collection.isEmpty(),what's the return of Collection.isEmpty()?,the return of Collection.isEmpty() should be true if this set contains no elements..,"['return', 'Collection.isEmpty()']"
Collection.contains(Object o),what's the return of Collection.contains(Object o)?,"the return of Collection.contains(Object o) should be true if this deque contains the specified element. More formally, returns true if and only if this deque contains at least one element e such that (o==null ? e==null : o.equals(e))..","['return', 'Collection.contains(Object o)']"
Collection.contains(Object o),what's the parameter of Collection.contains(Object o)?,the parameter of Collection.contains(Object o) should be  element whose presence in this deque is to be tested.,"['parameter', 'Collection.contains(Object o)']"
Collection.toArray(),what's the return of Collection.toArray()?,"the return of Collection.toArray() should be an array containing all of the elements in this set. If this set makes any guarantees as to what order its elements are returned by its iterator, this method must return the elements in the same order..","['return', 'Collection.toArray()']"
Collection.toArray(T[] a),what's the return of Collection.toArray(T[] a)?,"the return of Collection.toArray(T[] a) should be an array containing all of the elements in this set; the runtime type of the returned array is that of the specified array. If the set fits in the specified array, it is returned therein. Otherwise, a new array is allocated with the runtime type of the specified array and the size of this set. String[] y = x.toArray(new String[0]); Note that toArray(new Object[0]) is identical in function to toArray()..","['return', 'Collection.toArray(T[] a)']"
Collection.add(E e),what's the return of Collection.add(E e)?,the return of Collection.add(E e) should be true (as specified by Collection.add(E)).,"['return', 'Collection.add(E e)']"
Collection.add(E e),what's the parameter of Collection.add(E e)?,the parameter of Collection.add(E e) should be  the element to add.,"['parameter', 'Collection.add(E e)']"
Collection.remove(Object o),what's the return of Collection.remove(Object o)?,the return of Collection.remove(Object o) should be true if an element was removed as a result of this call.,"['return', 'Collection.remove(Object o)']"
Collection.remove(Object o),what's the parameter of Collection.remove(Object o)?,"the parameter of Collection.remove(Object o) should be  element to be removed from this deque, if present.","['parameter', 'Collection.remove(Object o)']"
Collection.containsAll(Collection<?> c),what's the return of Collection.containsAll(Collection<?> c)?,"the return of Collection.containsAll(Collection<?> c) should be true if this set contains all of the elements of the specified collection. If the specified collection is also a set, this method returns true if it is a subset of this set..","['return', 'Collection.containsAll(Collection<?> c)']"
Collection.addAll(Collection<? extends E> c),what's the return of Collection.addAll(Collection<? extends E> c)?,the return of Collection.addAll(Collection<? extends E> c) should be true if this set changed as a result of the call.,"['return', 'Collection.addAll(Collection<? extends E> c)']"
Collection.removeAll(Collection<?> c),what's the return of Collection.removeAll(Collection<?> c)?,the return of Collection.removeAll(Collection<?> c) should be true if this set changed as a result of the call.,"['return', 'Collection.removeAll(Collection<?> c)']"
Collection.retainAll(Collection<?> c),what's the return of Collection.retainAll(Collection<?> c)?,the return of Collection.retainAll(Collection<?> c) should be true if this set changed as a result of the call.,"['return', 'Collection.retainAll(Collection<?> c)']"
Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
List.get(int index),what's the return of List.get(int index)?,the return of List.get(int index) should be the element at the specified position in this Vector..,"['return', 'List.get(int index)']"
"List.set(int index, E element)","what's the return of List.set(int index, E element)?","the return of List.set(int index, E element) should be element - element to be stored at the specified position.","['return', 'List.set(int index, E element)']"
"List.set(int index, E element)","what's the parameter of List.set(int index, E element)?","the parameter of List.set(int index, E element) should be  index of the element to replace.","['parameter', 'List.set(int index, E element)']"
"List.add(int index, E element)","what's the parameter of List.add(int index, E element)?","the parameter of List.add(int index, E element) should be  index at which the specified element is to be inserted.","['parameter', 'List.add(int index, E element)']"
List.remove(int index),what's the return of List.remove(int index)?,the return of List.remove(int index) should be element that was removed.,"['return', 'List.remove(int index)']"
List.indexOf(Object o),what's the return of List.indexOf(Object o)?,"the return of List.indexOf(Object o) should be the index of the first occurrence of the specified element in this vector, or -1 if this vector does not contain the element. More formally, returns the lowest index i such that (o==null ? get(i)==null : o.equals(get(i))), or -1 if there is no such index..","['return', 'List.indexOf(Object o)']"
List.indexOf(Object o),what's the parameter of List.indexOf(Object o)?,the parameter of List.indexOf(Object o) should be  element to search for.,"['parameter', 'List.indexOf(Object o)']"
List.lastIndexOf(Object o),what's the return of List.lastIndexOf(Object o)?,"the return of List.lastIndexOf(Object o) should be the index of the last occurrence of the specified element in this vector, or -1 if this vector does not contain the element. More formally, returns the highest index i such that (o==null ? get(i)==null : o.equals(get(i))), or -1 if there is no such index..","['return', 'List.lastIndexOf(Object o)']"
List.lastIndexOf(Object o),what's the parameter of List.lastIndexOf(Object o)?,the parameter of List.lastIndexOf(Object o) should be  element to search for.,"['parameter', 'List.lastIndexOf(Object o)']"
"List.addAll(int index, Collection<? extends E> c)","what's the return of List.addAll(int index, Collection<? extends E> c)?","the return of List.addAll(int index, Collection<? extends E> c) should be c - elements to be inserted into this Vector.","['return', 'List.addAll(int index, Collection<? extends E> c)']"
Iterable.iterator(),what's the return of Iterable.iterator()?,the return of Iterable.iterator() should be an iterator over the elements in this list in proper sequence..,"['return', 'Iterable.iterator()']"
List.listIterator(),what's the return of List.listIterator()?,the return of List.listIterator() should be a list iterator over the elements in this list (in proper sequence)..,"['return', 'List.listIterator()']"
List.listIterator(int index),what's the return of List.listIterator(int index)?,"the return of List.listIterator(int index) should be a list iterator over the elements in this list (in proper sequence), starting at the specified position in the list. The specified index indicates the first element that would be returned by an initial call to next. An initial call to previous would return the element with the specified index minus one..","['return', 'List.listIterator(int index)']"
"List.subList(int fromIndex, int toIndex)","what's the return of List.subList(int fromIndex, int toIndex)?","the return of List.subList(int fromIndex, int toIndex) should be a view of the portion of this List between fromIndex, inclusive, and toIndex, exclusive. (If fromIndex and toIndex are equal, the returned List is empty.) The returned List is backed by this List, so changes in the returned List are reflected in this List, and vice-versa. The returned List supports all of the optional List operations supported by this List. list.subList(from, to).clear(); Similar idioms may be constructed for indexOf and lastIndexOf, and all of the algorithms in the Collections class can be applied to a subList..","['return', 'List.subList(int fromIndex, int toIndex)']"
Object.equals(Object o),what's the return of Object.equals(Object o)?,the return of Object.equals(Object o) should be true if the specified object is equal to this map.,"['return', 'Object.equals(Object o)']"
Object.equals(Object o),what's the parameter of Object.equals(Object o)?,the parameter of Object.equals(Object o) should be  object to be compared for equality with this map.,"['parameter', 'Object.equals(Object o)']"
Object.hashCode(),what's the return of Object.hashCode()?,the return of Object.hashCode() should be the hash code computed from the package name..,"['return', 'Object.hashCode()']"
Map.size(),what's the return of Map.size()?,"the return of Map.size() should be the number of key-value mappings in this map. If the map contains more than Integer.MAX_VALUE elements, returns Integer.MAX_VALUE..","['return', 'Map.size()']"
Map.isEmpty(),what's the return of Map.isEmpty()?,the return of Map.isEmpty() should be true if this map contains no key-value mappings..,"['return', 'Map.isEmpty()']"
Map.containsValue(Object value),what's the return of Map.containsValue(Object value)?,"the return of Map.containsValue(Object value) should be true if this map maps one or more keys to the specified value. More formally, returns true if and only if this map contains at least one mapping to a value v such that (value==null ? v==null : value.equals(v)). This operation will probably require time linear in the map size for most implementations of the Map interface..","['return', 'Map.containsValue(Object value)']"
Map.containsValue(Object value),what's the parameter of Map.containsValue(Object value)?,the parameter of Map.containsValue(Object value) should be  value whose presence in this map is to be tested.,"['parameter', 'Map.containsValue(Object value)']"
Map.containsKey(Object key),what's the return of Map.containsKey(Object key)?,"the return of Map.containsKey(Object key) should be true if this map contains a mapping for the specified key. More formally, returns true if and only if this map contains a mapping for a key k such that (key==null ? k==null : key.equals(k)). (There can be at most one such mapping.).","['return', 'Map.containsKey(Object key)']"
Map.containsKey(Object key),what's the parameter of Map.containsKey(Object key)?,the parameter of Map.containsKey(Object key) should be  key whose presence in this map is to be tested.,"['parameter', 'Map.containsKey(Object key)']"
Map.get(Object key),what's the return of Map.get(Object key)?,"the return of Map.get(Object key) should be the value to which the specified key is mapped, or null if this map contains no mapping for the key..","['return', 'Map.get(Object key)']"
Map.get(Object key),what's the parameter of Map.get(Object key)?,the parameter of Map.get(Object key) should be  the key whose associated value is to be returned.,"['parameter', 'Map.get(Object key)']"
"Map.put(K key, V value)","what's the return of Map.put(K key, V value)?","the return of Map.put(K key, V value) should be value - value to be associated with the specified key.","['return', 'Map.put(K key, V value)']"
"Map.put(K key, V value)","what's the parameter of Map.put(K key, V value)?","the parameter of Map.put(K key, V value) should be  key with which the specified value is to be associated.","['parameter', 'Map.put(K key, V value)']"
Map.remove(Object key),what's the return of Map.remove(Object key)?,"the return of Map.remove(Object key) should be the previous value associated with key, or
         null if there was no mapping for key..","['return', 'Map.remove(Object key)']"
Map.remove(Object key),what's the parameter of Map.remove(Object key)?,the parameter of Map.remove(Object key) should be  key whose mapping is to be removed from the map.,"['parameter', 'Map.remove(Object key)']"
"Map.putAll(Map<? extends K,? extends V> m)","what's the parameter of Map.putAll(Map<? extends K,? extends V> m)?","the parameter of Map.putAll(Map<? extends K,? extends V> m) should be  mappings to be stored in this map.","['parameter', 'Map.putAll(Map<? extends K,? extends V> m)']"
Map.keySet(),what's the return of Map.keySet()?,"the return of Map.keySet() should be a Set view of the keys contained in this map. The set is backed by the map, so changes to the map are reflected in the set, and vice-versa. If the map is modified while an iteration over the set is in progress (except through the iterator's own remove operation), the results of the iteration are undefined. The set supports element removal, which removes the corresponding mapping from the map, via the Iterator.remove, Set.remove, removeAll, retainAll, and clear operations. It does not support the add or addAll operations..","['return', 'Map.keySet()']"
Map.values(),what's the return of Map.values()?,"the return of Map.values() should be a Collection view of the values contained in this map. The collection is backed by the map, so changes to the map are reflected in the collection, and vice-versa. If the map is modified while an iteration over the collection is in progress (except through the iterator's own remove operation), the results of the iteration are undefined. The collection supports element removal, which removes the corresponding mapping from the map, via the Iterator.remove, Collection.remove, removeAll, retainAll and clear operations. It does not support the add or addAll operations..","['return', 'Map.values()']"
Map.entrySet(),what's the return of Map.entrySet()?,the return of Map.entrySet() should be a set view of the mappings contained in this map.,"['return', 'Map.entrySet()']"
Object.equals(Object o),what's the return of Object.equals(Object o)?,the return of Object.equals(Object o) should be true if the specified object is equal to this map.,"['return', 'Object.equals(Object o)']"
Object.equals(Object o),what's the parameter of Object.equals(Object o)?,the parameter of Object.equals(Object o) should be  object to be compared for equality with this map.,"['parameter', 'Object.equals(Object o)']"
Object.hashCode(),what's the return of Object.hashCode()?,the return of Object.hashCode() should be the hash code computed from the package name..,"['return', 'Object.hashCode()']"
Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
Object.clone(),what's the return of Object.clone()?,the return of Object.clone() should be a shallow copy of this AbstractMap instance: the keys and values themselves are not cloned..,"['return', 'Object.clone()']"
Map.Entry.getKey(),what's the return of Map.Entry.getKey()?,the return of Map.Entry.getKey() should be the key corresponding to this entry..,"['return', 'Map.Entry.getKey()']"
Map.Entry.getValue(),what's the return of Map.Entry.getValue()?,"the return of Map.Entry.getValue() should be the value corresponding to this entry. If the mapping has been removed from the backing map (by the iterator's remove operation), the results of this call are undefined..","['return', 'Map.Entry.getValue()']"
Map.Entry.setValue(V value),what's the return of Map.Entry.setValue(V value)?,the return of Map.Entry.setValue(V value) should be old value corresponding to the entry.,"['return', 'Map.Entry.setValue(V value)']"
Map.Entry.setValue(V value),what's the parameter of Map.Entry.setValue(V value)?,the parameter of Map.Entry.setValue(V value) should be  new value to be stored in this entry.,"['parameter', 'Map.Entry.setValue(V value)']"
Object.equals(Object o),what's the return of Object.equals(Object o)?,the return of Object.equals(Object o) should be true if the specified object is equal to this map.,"['return', 'Object.equals(Object o)']"
Object.equals(Object o),what's the parameter of Object.equals(Object o)?,the parameter of Object.equals(Object o) should be  object to be compared for equality with this map.,"['parameter', 'Object.equals(Object o)']"
Object.hashCode(),what's the return of Object.hashCode()?,the return of Object.hashCode() should be the hash code computed from the package name..,"['return', 'Object.hashCode()']"
Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
Map.Entry.getKey(),what's the return of Map.Entry.getKey()?,the return of Map.Entry.getKey() should be the key corresponding to this entry..,"['return', 'Map.Entry.getKey()']"
Map.Entry.getValue(),what's the return of Map.Entry.getValue()?,"the return of Map.Entry.getValue() should be the value corresponding to this entry. If the mapping has been removed from the backing map (by the iterator's remove operation), the results of this call are undefined..","['return', 'Map.Entry.getValue()']"
Map.Entry.setValue(V value),what's the return of Map.Entry.setValue(V value)?,the return of Map.Entry.setValue(V value) should be old value corresponding to the entry.,"['return', 'Map.Entry.setValue(V value)']"
Map.Entry.setValue(V value),what's the parameter of Map.Entry.setValue(V value)?,the parameter of Map.Entry.setValue(V value) should be  new value to be stored in this entry.,"['parameter', 'Map.Entry.setValue(V value)']"
Object.equals(Object o),what's the return of Object.equals(Object o)?,the return of Object.equals(Object o) should be true if the specified object is equal to this map.,"['return', 'Object.equals(Object o)']"
Object.equals(Object o),what's the parameter of Object.equals(Object o)?,the parameter of Object.equals(Object o) should be  object to be compared for equality with this map.,"['parameter', 'Object.equals(Object o)']"
Object.hashCode(),what's the return of Object.hashCode()?,the return of Object.hashCode() should be the hash code computed from the package name..,"['return', 'Object.hashCode()']"
Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
Queue.remove(),what's the return of Queue.remove()?,the return of Queue.remove() should be the head of the queue represented by this deque.,"['return', 'Queue.remove()']"
Queue.element(),what's the return of Queue.element()?,the return of Queue.element() should be the head of the queue represented by this deque.,"['return', 'Queue.element()']"
List.get(int index),what's the return of List.get(int index)?,the return of List.get(int index) should be the element at the specified position in this Vector..,"['return', 'List.get(int index)']"
Object.equals(Object o),what's the return of Object.equals(Object o)?,the return of Object.equals(Object o) should be true if the specified object is equal to this map.,"['return', 'Object.equals(Object o)']"
Object.equals(Object o),what's the parameter of Object.equals(Object o)?,the parameter of Object.equals(Object o) should be  object to be compared for equality with this map.,"['parameter', 'Object.equals(Object o)']"
Object.hashCode(),what's the return of Object.hashCode()?,the return of Object.hashCode() should be the hash code computed from the package name..,"['return', 'Object.hashCode()']"
Deque.addFirst(E e),what's the parameter of Deque.addFirst(E e)?,the parameter of Deque.addFirst(E e) should be  the element to add.,"['parameter', 'Deque.addFirst(E e)']"
